ID,Name,UserType,Subject,Date,Time
1111,Unknown,Unknown,elective,2025-04-28,20:05:20
4444,Unknown,Unknown,elective,2025-04-28,20:05:31
3333,Unknown,Unknown,elective,2025-04-28,20:06:01
5555,Unknown,Unknown,elective,2025-04-28,20:06:04
3333,Unknown,Unknown,elective,2025-04-28,20:07:09
2222,Unknown,Unknown,elective,2025-04-28,20:07:09
1111,Unknown,Unknown,elective,2025-04-28,20:07:09
4444,Unknown,Unknown,elective,2025-04-28,20:07:14
1235,lola,student,elective,2025-04-28,20:40:40
1234,marcilla,student,elective,2025-04-28,20:40:40
4321,mik,student,elective,2025-04-28,20:40:46
1234,marcilla,student,elective,2025-04-28,20:44:00
1235,lola,student,elective,2025-04-28,20:44:08
7777,nics,PY_VAR0,ELECTIVE,2025-04-29,18:14:28
7777,nics,PY_VAR0,ELECTIVE,2025-04-29,18:14:28
